dataset id,app name,personal data categories,login categories,personal data targets,unspecific data categories,personal data usage mentioned in app description,source of rating information,reasonableness of personal data collection,secure data transmission,notes,rater,,,
1380,Simple Weight Recorder,Body specs,None,,"Advertisers / Marketeers, Analytics",1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
1407,Eponyms,,None,App provider,,0,"Screenshots, App downloaded, HTTP Proxy",,0,,Joel,,,
1408,TwoTouch Timer & Alarmclock,,None,,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1416,Body Fat Calculator,"Body specs, Life status specs",None,,Analytics,1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
1417,Farmácias,,None,,,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1418,Self-Hypnosis for Meditation,,None,,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1420,Brainwave Tuner Lite,,None,,"Advertisers / Marketeers, Analytics",0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1425,Bench Press Workout,,None,,"Advertisers / Marketeers, Analytics",0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1430,Bleep Test 20-15,Workout / Activities,None,,,1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
1438,Dharma Timer Counter Lite,,None,,,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1446,Eight Cups Lite,Food intake,None,,Advertisers / Marketeers,1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
1447,Health Net Mobile,,Username,App provider,,1,"Screenshots, App downloaded, HTTP Proxy",1,1,Registrierung nötig,Joel,,,
1467,Alcohol Calculator,"Body specs, Life status specs, Food intake",None,,Analytics,1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
1481,Toothbrush Helper (Lite),,None,,"Advertisers / Marketeers, Analytics",0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1491,FitRoid - Lite,"Body specs, Food intake, Workout / Activities, Vital values",None,,Analytics,1,"Screenshots, App downloaded, HTTP Proxy",1,,übernommen von Invigor Solutions,Joel,,,
1509,Simple Meal Reminder,Food intake,None,,Advertisers / Marketeers,1,"Screenshots, App downloaded, HTTP Proxy",1,,übernommen von Dolatabadi,Joel,,,
1510,mobiCeliac [mini],,None,,"Advertisers / Marketeers, Analytics",0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1518,Relax with Andrew Johnson Lite,,None,,,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1529,Natural Beauty Recipe,,None,,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1531,Weight Chart v2,Body specs,None,,Analytics,1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
1536,What Additives,,None,,"Advertisers / Marketeers, Analytics",0,"Screenshots, App downloaded, HTTP Proxy",0,,Identität,Joel,,,
1544,Glasgow Coma Scale,,None,,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",1,,Nicht eigene Daten …,Joel,,,
1546,NCCN Guidelines,,None,,Analytics,0,"Screenshots, App downloaded, HTTP Proxy",0,,"Identität; Registrierung, TIP Medical Communications",Joel,,,
1560,Power Nap Alarm,,None,,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1565,Tabata Sport Interval Timer,Workout / Activities,None,,Advertisers / Marketeers,1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
1572,Recall Watch,,None,,"Advertisers / Marketeers, Analytics",0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1583,Blood Alcohol Calculator,"Body specs, Food intake",None,,"Advertisers / Marketeers, Analytics",1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
1603,Military Body Fat Calculator,Body specs,None,,"Advertisers / Marketeers, Analytics",1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
1606,Max Bench Press Calculator,Workout / Activities,None,,"Advertisers / Marketeers, Analytics",1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
1612,yourFit Lite,"Body specs, Life status specs, Food intake, Workout / Activities",None,App provider,Analytics,1,"Screenshots, App downloaded, HTTP Proxy",1,0,,Joel,,,
1614,(Free) Herbs of Traditn & Sppl,,,,,0,Screenshots,0,,"Kontakte, Telefon",Joel,,,
1619,Live Sound,,None,,,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1634,Pregnancy Widget,Life status specs,None,,Analytics,1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
1637,Yoga Song,,None,,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1642,Workout Assistant,Workout / Activities,None,,Analytics,1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
1647,Barcode Calorie,Food intake,None,,,1,"Screenshots, App downloaded, HTTP Proxy",1,,Kamerazugriff auch ohne Erlaubnis,Joel,,,
1650,Refresh Your Brain Relaxation,,None,,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1654,ColorTest,,None,,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1655,Diary Weight,Body specs,None,,Advertisers / Marketeers,1,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1679,Walttend Lite,Workout / Activities,None,,Advertisers / Marketeers,1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
1684,Pregnancy Due Dates Calculator,Life status specs,None,,Advertisers / Marketeers,1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
1686,Relaxing Night Brain Massage,,None,,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1693,Adora AA=> Acupuncture Assist.,,None,,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1713,WWDiary,"Food intake, Workout / Activities",None,,,1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
1715,SmartTraining,Workout / Activities,None,,Advertisers / Marketeers,1,"Screenshots, App downloaded, HTTP Proxy",1,,Identität,Joel,,,
1721,DietLog Free,"Body specs, Life status specs, Food intake",None,,"Advertisers / Marketeers, Analytics",1,"Screenshots, App downloaded, HTTP Proxy",0,,,Joel,,,
1723,Brushy - Teeth brushing timer,,,,,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1840,Cancer Preventing Food (Health,,None,,"Advertisers / Marketeers, Analytics",0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
2096,Calculate ideal weight  (BMI),Body specs,None,,"Advertisers / Marketeers, Analytics",1,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
2135,EiWeight,Body specs,None,,,1,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
2305,Instant Heart Rate - Classic,Vital values,None,,"Advertisers / Marketeers, Analytics",1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
2308,Sleepytime,,,,,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
2366,Quit Smoking,Life status specs,,,,1,Screenshots,1,,"umbenannt in Stop Smoking, stürtzt direkt ab",Joel,,,
2464,Power Nap with Andrew Johnson,,None,,,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
2473,SportsTracker (by STL),"Life status specs, Body specs, Vital values, Workout / Activity",None,App provider,Analytics,1,"Screenshots, App downloaded, HTTP Proxy, Privacy policy",1,0,Running and Biking,Joel,,,
2476,E Numbers,,None,,,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
2481,Pharmacist's Letter®,,None,App provider,Analytics,0,"Screenshots, App downloaded, HTTP Proxy",,0,E-Mail Registrierung für erweiterten Zugriff,Joel,,,
2496,Round One Timer,,None,,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
2497,Handy Runner,Workout / Activities,None,,,1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
2504,Kick Counter 1.5,Life status specs,None,,Advertisers / Marketeers,1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
2509,Skimble GPS Sports Tracker,Workout / Activities,None,"App provider, Facebook","Advertisers / Marketeers, Analytics",1,"Screenshots, App downloaded, HTTP Proxy, Privacy policy",1,0,"E-Mail, Facebook Registrierung für erweiterten Zugriff",Joel,,,
2534,RxCase Minder,Medication intake,None,,Analytics,1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
2553,Your Baby's Development - Week,,,,,0,"App downloaded, HTTP Proxy",,,,Joel,,,
2817,Personality Test,Personality Test,None,,"Advertisers / Marketeers, Analytics",1,"App downloaded, HTTP Proxy",1,,,Joel,,,
3009,heartbeat,Vital values,,,,1,"App downloaded, HTTP Proxy",1,,,Joel,,,
3075,Natural Silences Lite,,None,,,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
3954,Ideal Weight Stats - BMI / BFI,Body specs,None,,"Advertisers / Marketeers, Analytics",1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
4348,GO Sleeping Free,,None,,"Advertisers / Marketeers, Analytics",0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
4681,Burn the Turkey - Widget,,None,,Analytics,0,"Screenshots, App downloaded, HTTP Proxy",,,Standort,Joel,,,
4716,Med Minder - Free,Medication intake,None,,Advertisers / Marketeers,1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,x
4877,First Aid White Cross,None,None,None,Analytics,0,"App downloaded,HTTP Proxy",,,Just displays information videos,Thomas,,,
5273,EyeXam,Symptoms,"E-Mail,Facebook",App provider,,1,"App downloaded,HTTP Proxy",1,1,"Eye test, Eye doc locator, Crashes like crazy",Thomas,,,
5628,Eponyms (for students),None,None,None,"Analytics, Advertisers / Marketeers",0,"App downloaded,HTTP Proxy",,0,Symptom info lists,Thomas,,,
5637,Epocrates,"Address, ",E-Mail,None,Analytics,,"App downloaded,HTTP Proxy",,0,,Thomas,,,
6027,Easy Weight Loss Tips,None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
6054,Drug Pronunciations Lite,None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
6121,Dream Meanings,None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
6126,Dream Interpreter,None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
7027,Davis's Drug Guide for Mobile + Web,None,Username,None,Advertisers / Marketeers,1,"App downloaded, Screenshots, Description, HTTP Proxy",1,,"App unusable, In-App data update times out",Thomas,,,
7174,Cures A-Z,None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
8083,Brain Tutor 3D,None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
8254,Calculate (Medical Calculator) by QxMD,"Address, Vital values",E-Mail,"App provider,Advertisers / Marketeers","Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy,Privacy policy",1,1,Informations for doctors or medical staff,Thomas,,,
8912,Baby Pregnancy Tracker (Lite),Life status specs,None,None,,0,"App downloaded,HTTP Proxy",,,"Does not connect to servers, no data is sent anywhere",Thomas,,,
9073,Blood Pressure Monitor - Family Lite,"Body specs,Medication intake",E-Mail,"App provider,Advertisers / Marketeers","Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy,Privacy policy",1,1,Does try to gather as much information as possible,Thomas,,,
9222,Beauty Tips,None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
9224,Beauty Tips Full : How to become more beautiful...,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
9271,Best Diet Foods,None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
9842,Amazing Human Calculator FREE,None,None,None,"Analytics, Advertisers / Marketeers",0,"Description, Screenshots",0,,Input Birthdate and get fancy fact on how many times you inhaled since then and so on,Thomas,,,
10108,Anatomy Pronunciations Lite,None,None,None,,0,"Description, Screenshots",,,Guide,Thomas,,,
10638,ABG,"Body specs,Vital values",None,None,None,1,"App downloaded,HTTP Proxy",1,,,Thomas,,,
10954,Health Tip of the Day,None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
10955,Health Tips 1000,None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
12029,Instant Heart Rate - Heart Rate Monitor by Azumio Free,Vital values,None,None,"Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy",1,,,Thomas,,,
12357,Lexicomp,Medication intake,E-Mail,"App provider,Advertisers / Marketeers,Research Projects",None,0,"App downloaded,HTTP Proxy,Privacy policy",1,1,,Thomas,,,
12442,Legal Maps,None,None,,,,"Description, Screenshots",,,,Thomas,,,
12757,Marijuana Handbook Lite,None,None,,,,"Description, Screenshots",,,,Thomas,,,
13523,Medscape,"Address,Life status specs,Medication intake",E-Mail,"App provider,Advertisers / Marketeers,Research Projects","Analytics, Advertisers / Marketeers",0,"App downloaded,HTTP Proxy,Privacy policy",,1,,Thomas,,,
13632,Mental Illness,None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
13760,Mind Tricks,None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
14188,Medical Encyclopedia,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
14732,Nursing Central,None,E-Mail,,None,,"App downloaded,HTTP Proxy",,,,Thomas,,,
14910,My Baby Today,"Body specs,Life status specs",E-Mail,App provider,"Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy",1,0,,Thomas,,,
15019,"Monthly Cycles - Period Tracker, Menstrual Calendar &amp; Ovulation / Fertility Diary","Body specs,Symptoms,Life status specs",None,App provider,"Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy",1,1,,Thomas,,,
15277,My Pregnancy Today,None,E-Mail,,"Analytics, Advertisers / Marketeers",,"App downloaded,HTTP Proxy",,0,,Thomas,,,
15318,My Cycles Period and Ovulation Tracker,"Life status specs,Address",E-Mail,App provider,"Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy",0,1,,Thomas,,,
15469,Period Tracker (Pink Pad Free),Life status specs,"E-Mail, Facebook","App provider,Advertisers / Marketeers","Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy,Privacy policy",1,0,,Thomas,,,
15851,Phobias,None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
15994,Orasphere,None,None,,,,"Description, Screenshots",,,Shows images of teeth,Thomas,,,
16386,Relax Completely,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
16388,Relax Dream,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
16412,Relax with Andrew Johnson Lite,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
16414,Relax Waterfall,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
16432,Relax Ocean Waves,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
16437,Relax Raindrops,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
16438,Relax Peace,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
16792,ReachMD CME,Unknown,E-Mail,Unknown,None,,"Description, Screenshots",,,App does not load on iPhone 4s,Thomas,,,
16895,Prognosis : Your Diagnosis,Symptoms,"Google, Facebook",App provider,Advertisers / Marketeers,0,"App downloaded,HTTP Proxy",1,0,,Thomas,,,
17006,PubMed On Tap Lite,None,None,None,Analytics,,"App downloaded,HTTP Proxy",,,,Thomas,,,
17073,Psych Drugs,None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
17315,Pregnancy (BabyBump),"Life status specs,Vital values,Body specs,Symptoms","E-Mail, Facebook","App provider,Advertisers / Marketeers","Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy,Privacy policy",0,1,,Thomas,,,
17383,Sleepmaker Waves Free,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
17385,Sleepmaker Wildlife Free,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
17387,Sleepmaker Storms Free,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
17389,Sleepmaker Streams Free,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
17393,Sleepmaker Rain Free,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
17687,Silent Island Relaxation Lite,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
17837,Skyscape Medical Resources,Address,E-Mail,"App provider,Advertisers / Marketeers",Analytics,0,"App downloaded,HTTP Proxy,Privacy policy",0,0,,Thomas,,,
18231,RxmindMe Prescription / Medicine Reminder and Pill Tracker,Medication intake,E-Mail,"App provider,Advertisers / Marketeers",None,1,"App downloaded,HTTP Proxy,Privacy policy",0,0,,Thomas,,,
18258,Running Log Free,Workout / Activities,None,None,"Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy",1,,,Thomas,,,
18773,"Teen BMI (Find out how your WEIGHT, HEIGHT and BMI compares with others of the same age)",None,None,None,None,,"App downloaded,HTTP Proxy",,,,Thomas,,,
18891,Taber's Medical Dictionary for Mobile + Web,None,Unknown,None,None,,"Description, Screenshots",,,,Thomas,,,
18963,Symptom Checker .MD,Symptoms,"E-Mail, Facebook",App provider,"Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy",0,1,,Thomas,,,
19125,Stress Check,"Symptoms,Life status specs",None,None,None,,"App downloaded,HTTP Proxy",,,,Thomas,,,
19222,STAT ICD-9 LITE,None,None,None,Analytics,,"App downloaded,HTTP Proxy",,,,Thomas,,,
